"Username","participant ethnicity","Response.RT","Response.JOL","Stimuli.Stimuli.Notes_2.1","Stimuli.Stimuli.Notes_3.1","key.1","Target_Ethnicity","scored"
"5873b2d22bd3c90001859b76","White",10101,"75","M","H","OLD","B",1
"5873b2d22bd3c90001859b76","White",5452,"70","F","L","OLD","B",1
"5873b2d22bd3c90001859b76","White",8167,"80","F","L","OLD","B",1
"5873b2d22bd3c90001859b76","White",3724,"70","F","H","OLD","B",0
"5873b2d22bd3c90001859b76","White",8188,"80","F","H","OLD","W",1
"5873b2d22bd3c90001859b76","White",7263,"75","F","L","OLD","B",1
"5873b2d22bd3c90001859b76","White",8587,"70","M","H","OLD","B",1
"5873b2d22bd3c90001859b76","White",11065,"70","M","L","OLD","W",0
"5873b2d22bd3c90001859b76","White",9911,"75","F","L","OLD","B",1
"5873b2d22bd3c90001859b76","White",4851,"70","M","L","OLD","W",1
"5873b2d22bd3c90001859b76","White",6424,"70","F","L","OLD","B",0
"5873b2d22bd3c90001859b76","White",8331,"70","F","L","OLD","B",0
"5873b2d22bd3c90001859b76","White",53467,"70","F","H","OLD","B",1
"5873b2d22bd3c90001859b76","White",8355,"75","F","H","OLD","W",1
"5873b2d22bd3c90001859b76","White",3778,"70","F","H","OLD","B",1
"5873b2d22bd3c90001859b76","White",5221,"60","F","H","OLD","W",1
"5873b2d22bd3c90001859b76","White",7279,"80","F","L","OLD","W",1
"5873b2d22bd3c90001859b76","White",9178,"65","F","L","OLD","W",1
"5873b2d22bd3c90001859b76","White",5925,"70","F","L","OLD","B",1
"5873b2d22bd3c90001859b76","White",24988,"75","F","L","OLD","W",1
"5873b2d22bd3c90001859b76","White",9295,"60","F","L","OLD","W",0
"5873b2d22bd3c90001859b76","White",6754,"75","F","H","OLD","B",1
"5873b2d22bd3c90001859b76","White",3494,"60","F","L","OLD","W",0
"5873b2d22bd3c90001859b76","White",9144,"75","F","H","OLD","B",1
"5977986837d15f00016f1d08","White",3739,"50","F","L","OLD","B",1
"5977986837d15f00016f1d08","White",3300,"26","F","L","OLD","B",1
"5977986837d15f00016f1d08","White",3929,"73","F","L","OLD","B",1
"5977986837d15f00016f1d08","White",3364,"34","F","L","OLD","B",0
"5977986837d15f00016f1d08","White",4421,"30","F","L","OLD","B",0
"5977986837d15f00016f1d08","White",3615,"68","F","L","OLD","B",0
"5977986837d15f00016f1d08","White",3286,"26","F","H","OLD","W",1
"5977986837d15f00016f1d08","White",3240,"67","M","H","OLD","W",0
"5977986837d15f00016f1d08","White",4163,"38","F","H","OLD","W",1
"5977986837d15f00016f1d08","White",6244,"36","F","L","OLD","W",1
"5977986837d15f00016f1d08","White",3799,"37","F","H","OLD","W",1
"5977986837d15f00016f1d08","White",3360,"47","F","H","OLD","W",1
"5977986837d15f00016f1d08","White",3067,"56","M","H","OLD","W",0
"5977986837d15f00016f1d08","White",3093,"68","F","L","OLD","B",1
"5977986837d15f00016f1d08","White",3336,"28","F","H","OLD","B",1
"5977986837d15f00016f1d08","White",3212,"78","M","H","OLD","W",1
"5977986837d15f00016f1d08","White",3276,"32","M","H","OLD","B",0
"5977986837d15f00016f1d08","White",3480,"56","F","H","OLD","W",1
"5977986837d15f00016f1d08","White",3750,"36","M","H","OLD","B",1
"5977986837d15f00016f1d08","White",3225,"26","F","L","OLD","W",0
"5977986837d15f00016f1d08","White",3137,"47","F","L","OLD","B",1
"5977986837d15f00016f1d08","White",3348,"21","F","H","OLD","B",1
"5977986837d15f00016f1d08","White",3893,"79","F","H","OLD","B",1
"5977986837d15f00016f1d08","White",3669,"37","M","H","OLD","W",1
"5977986837d15f00016f1d08","White",3453,"45","M","H","OLD","W",1
"5977986837d15f00016f1d08","White",3894,"89","F","L","OLD","W",1
"5977986837d15f00016f1d08","White",3969,"27","F","L","OLD","B",1
"5977986837d15f00016f1d08","White",3134,"48","F","L","OLD","W",1
"5977986837d15f00016f1d08","White",4368,"31","M","H","OLD","B",1
"5977986837d15f00016f1d08","White",3268,"38","F","H","OLD","B",1
"5977986837d15f00016f1d08","White",4334,"22","M","H","OLD","B",1
"5977986837d15f00016f1d08","White",3382,"49","F","H","OLD","B",1
"5977986837d15f00016f1d08","White",3319,"34","M","L","OLD","W",1
"5977986837d15f00016f1d08","White",3127,"34","F","L","OLD","B",0
"5977986837d15f00016f1d08","White",3710,"77","M","L","OLD","W",0
"5977986837d15f00016f1d08","White",3412,"35","F","L","OLD","W",0
"5977986837d15f00016f1d08","White",3418,"79","M","L","OLD","W",1
