"Username","participant_ethnicity","Response.RT","Stimuli.Stimuli.Notes_3","key","Target_Ethnicity","scored"
"5873b2d22bd3c90001859b76","White",2962,"H","NEW","W",0
"5873b2d22bd3c90001859b76","White",2743,"H","NEW","W",0
"5873b2d22bd3c90001859b76","White",2454,"L","NEW","B",0
"5873b2d22bd3c90001859b76","White",2113,"L","NEW","B",0
"5873b2d22bd3c90001859b76","White",5034,"H","NEW","B",0
"5873b2d22bd3c90001859b76","White",3722,"H","NEW","W",0
"5873b2d22bd3c90001859b76","White",3834,"L","OLD","B",1
"5873b2d22bd3c90001859b76","White",1873,"L","NEW","W",0
"5873b2d22bd3c90001859b76","White",1918,"H","NEW","B",0
"5873b2d22bd3c90001859b76","White",2499,"L","OLD","W",1
"5873b2d22bd3c90001859b76","White",2315,"L","OLD","W",1
"5873b2d22bd3c90001859b76","White",2023,"L","NEW","W",0
"5873b2d22bd3c90001859b76","White",7136,"L","OLD","W",0
"5873b2d22bd3c90001859b76","White",2403,"L","OLD","W",1
"5873b2d22bd3c90001859b76","White",5234,"H","OLD","B",1
"5873b2d22bd3c90001859b76","White",2830,"H","NEW","B",0
"5873b2d22bd3c90001859b76","White",4403,"L","NEW","B",0
"5873b2d22bd3c90001859b76","White",2319,"L","NEW","W",0
"5873b2d22bd3c90001859b76","White",3332,"H","OLD","B",0
"5873b2d22bd3c90001859b76","White",1913,"L","NEW","B",0
"5873b2d22bd3c90001859b76","White",1944,"H","NEW","B",0
"5873b2d22bd3c90001859b76","White",3053,"L","OLD","W",1
"5873b2d22bd3c90001859b76","White",2318,"L","NEW","B",0
"5873b2d22bd3c90001859b76","White",3375,"H","NEW","B",0
